Time_us,I_exp,I_err
0,0.006,0.02889204
1,-0.363,0.031517852
2,-0.3405,0.009367497
3,-0.1035,0.01370675
4,0.279,0.030502049
5,0.354,0.022172618
6,0.1305,0.024256442
7,-0.2415,0.022045408
8,-0.4185,0.051493932
9,-0.1455,0.026260712
10,0.1725,0.022748626
11,0.3885,0.030317074
12,0.2265,0.029565605
13,-0.129,0.017003676
14,-0.3675,0.035417157
15,-0.2595,0.023310405
16,0.114,0.011224972
17,0.342,0.025719642
18,0.279,0.019899749
19,-0.021,0.016837458
20,-0.327,0.012683651
21,-0.333,0.017843066
22,-0.0195,0.013332292
23,0.306,0.026131877
24,0.3345,0.03178443
25,0.06,0.017906005
26,-0.249,0.01733133
27,-0.339,0.03592179
28,-0.1365,0.012859821
29,0.2175,0.020263884
30,0.3585,0.022045408
31,0.1875,0.014426538
32,-0.2085,0.04069398
33,-0.3375,0.029144039
34,-0.2115,0.024806753
35,0.129,0.017652903
36,0.3525,0.025099801
37,0.2925,0.034205263
38,-0.069,0.010971554
39,-0.3165,0.031766728
40,-0.2685,0.036925601
41,0.0375,0.017102631
42,0.2805,0.025166943
43,0.2865,0.009307255
44,-0.0045,0.027820855
45,-0.237,0.031338874
46,-0.306,0.017492856
47,-0.072,0.028911503
48,0.2595,0.017201017
49,0.333,0.009663074
50,0.1095,0.017363755
51,-0.21,0.025211604
52,-0.342,0.017843066
53,-0.165,0.016259613
54,0.1275,0.013416408
55,0.339,0.029943697
56,0.1605,0.017201017
57,-0.1275,0.017906005
58,-0.33,0.028262166
59,-0.2175,0.042227065
60,0.066,0.009893179
61,0.3165,0.025477932
62,0.2535,0.03323778
63,-0.0315,0.020040584
64,-0.285,0.031194952
65,-0.2505,0.030335623
66,0.015,0.003354102
67,0.24,0.029717419
68,0.2505,0.051777167
69,0.12,0.018824851
70,-0.2205,0.020757529
71,-0.291,0.027699278
72,-0.102,0.013541603
73,0.1935,0.031766728
74,0.2565,0.032640083
75,0.129,0.02340673
76,-0.1155,0.023906066
77,-0.276,0.02292106
78,-0.1605,0.032397917
79,0.12,0.01277204
80,0.3015,0.024116903
81,0.222,0.01176329
82,-0.0585,0.01450431
83,-0.267,0.023788127
84,-0.2205,0.027515904
85,0.0135,0.027495454
86,0.2175,0.024647515
87,0.228,0.013119642
88,0.0075,0.023717082
89,-0.1995,0.028321811
90,-0.2715,0.012186058
91,-0.0945,0.014735162
92,0.186,0.004974937
93,0.2385,0.022674325
94,0.087,0.023310405
95,-0.1605,0.008746428
96,-0.2685,0.02292106
97,-0.162,0.022449944
98,0.0915,0.026664583
99,0.273,0.026045633
100,0.1515,0.03878305
101,-0.0675,0.011374313
102,-0.258,0.037694496
103,-0.177,0.01566046
104,0.033,0.026153394
105,0.231,0.010971554
106,0.2205,0.017201017
107,0,0.006708204
108,-0.246,0.026346252
109,-0.2235,0.028794531
110,-0.0195,0.031606961
111,0.186,0.024349025
112,0.2565,0.022674325
113,0.084,0.017003676
114,-0.159,0.027392974
115,-0.2265,0.038855502
116,-0.0735,0.034238137
117,0.1185,0.014111166
118,0.267,0.028716285
119,0.111,0.021398014
120,-0.063,0.024942434
121,-0.2505,0.02977415
122,-0.138,0.01861451
123,0.069,0.025032479
124,0.2235,0.018124569
125,0.129,0.033153054
126,-0.0645,0.032484612
127,-0.21,0.046536276
128,-0.213,0.035937446
129,0.0165,0.021398014
130,0.2175,0.010338037
131,0.2205,0.013119642
132,0.027,0.02505494
133,-0.1785,0.020180436
134,-0.183,0.027820855
135,-0.0855,0.024023426
136,0.147,0.032136428
137,0.2385,0.0165
138,0.0525,0.022624655
139,-0.1395,0.016703293
140,-0.204,0.017492856
141,-0.1275,0.019557607
142,0.105,0.02186607
143,0.183,0.020621591
144,0.1875,0.027145442
145,-0.0315,0.029849623
146,-0.2085,0.036233617
147,-0.162,0.032571076
148,0.063,0.023906066
149,0.1995,0.038869976
150,0.1965,0.02152905
151,-0.0105,0.020892582
152,-0.108,0.0281225
153,-0.177,0.038724992
154,-0.0255,0.01891428
155,0.1365,0.0165
156,0.1575,0.029336411
157,0.0375,0.013624427
158,-0.126,0.013910428
159,-0.153,0.034089955
160,-0.096,0.011715375
